eo_est,eo_true,dp_est,dp_true,eo_est_fine,eo_true_fine,dp_est_fine,dp_true_fine,dp_base,eo_base
[0.14494304 0.06212148],[0.16475699 0.07143661],0.318747184,0.348509248,[0.12317461 0.05415143],[0.13192384 0.05569171],0.292526674,0.263961948,0.244457344,[0.09887974 0.04194228]
[0.14041211 0.06188156],[0.16002469 0.07120417],0.318297327,0.348287621,[0.1317858  0.05628607],[0.13192384 0.05569171],0.27730339,0.263961948,0.244506169,[0.09886568 0.04194228]
[0.11892167 0.05509281],[0.13560462 0.06315816],0.287529971,0.315239318,[0.11475862 0.04958908],[0.13192384 0.05569171],0.281381177,0.263961948,0.244457344,[0.09887974 0.04194228]
[0.14008227 0.06059787],[0.15931994 0.06966089],0.310787274,0.34012671,[0.12951709 0.05756639],[0.13192384 0.05569171],0.28438803,0.263961948,0.244457344,[0.09887974 0.04194228]
[0.13691677 0.05963757],[0.15628069 0.06876566],0.301958673,0.331609234,[0.12846069 0.05437506],[0.13192384 0.05569171],0.26675215,0.263961948,0.244554996,[0.09885161 0.04194228]
[0.13629003 0.05972535],[0.15663543 0.06933974],0.304027993,0.335366372,[0.12028195 0.04842125],[0.13192384 0.05569171],0.269076467,0.263961948,0.24440852,[0.0988938  0.04194228]
