eo_est,eo_true,dp_est,dp_true,eo_est_fine,eo_true_fine,dp_est_fine,dp_true_fine,dp_base,eo_base
[0.15184871 0.0678243 ],[0.16774999 0.07550213],0.328018594,0.349614305,[0.13719043 0.06501113],[0.13192384 0.05569171],0.286277191,0.263961948,0.184135711,[0.07294577 0.0347122 ]
[0.14678476 0.06735578],[0.1626218  0.07506441],0.327971794,0.349926594,[0.14385585 0.07127238],[0.13192384 0.05569171],0.298537385,0.263961948,0.1842259,[0.07291917 0.0347122 ]
[0.12195488 0.05897764],[0.13264949 0.06541709],0.29911607,0.31922291,[0.11097752 0.05157284],[0.13192384 0.05569171],0.320596184,0.263961948,0.184127574,[0.07290739 0.03469966]
[0.14790719 0.06749044],[0.16357939 0.07509874],0.321419338,0.342855198,[0.15687067 0.06571039],[0.13192384 0.05569171],0.287647776,0.263961948,0.184262858,[0.07286748 0.03469966]
[0.14446093 0.06453776],[0.15993465 0.07197617],0.308260387,0.329779849,[0.1468093  0.06818105],[0.13192384 0.05569171],0.269115434,0.263961948,0.184164532,[0.07285571 0.03468712]
[0.13796747 0.06212486],[0.15363882 0.0696783 ],0.311887364,0.334778041,[0.15954137 0.07503014],[0.13192384 0.05569171],0.319266844,0.263961948,0.184180806,[0.07293247 0.0347122 ]
