eo_est,eo_true,dp_est,dp_true,eo_est_fine,eo_true_fine,dp_est_fine,dp_true_fine,dp_base,eo_base
[0.14186892 0.06249609],[0.16114594 0.07166451],0.322475057,0.351879882,[0.13226826 0.05732231],[0.13192384 0.05569171],0.29270055,0.263961948,0.3044344,[0.12650785 0.05726007]
[0.1383227  0.06226596],[0.15756928 0.07149558],0.321231676,0.350979421,[0.13123536 0.05749676],[0.13192384 0.05569171],0.283125759,0.263961948,0.3044344,[0.12650785 0.05726007]
[0.11816067 0.05537852],[0.13452721 0.06333414],0.291174232,0.318598674,[0.12529193 0.05517646],[0.13192384 0.05569171],0.288752813,0.263961948,0.3044344,[0.12650785 0.05726007]
[0.13947624 0.0619064 ],[0.15858854 0.07101169],0.315679462,0.344905374,[0.13161547 0.05783495],[0.13192384 0.05569171],0.289550644,0.263961948,0.3044344,[0.12650785 0.05726007]
[0.13834444 0.0611174 ],[0.15760231 0.07025124],0.303803222,0.332967252,[0.12632192 0.05439946],[0.13192384 0.05569171],0.27794302,0.263961948,0.3044344,[0.12650785 0.05726007]
[0.13725257 0.06090616],[0.15746425 0.07051522],0.308834665,0.33989089,[0.12677053 0.05386513],[0.13192384 0.05569171],0.276559124,0.263961948,0.3044344,[0.12650785 0.05726007]
