eo_est,eo_true,dp_est,dp_true,eo_est_fine,eo_true_fine,dp_est_fine,dp_true_fine,dp_base,eo_base
[0.06422443 0.01593985],[0.15185951 0.07440015],0.287096016,0.325558457,[0.32723494 0.13711117],[0.13192384 0.05569171],0.206046253,0.263961948,0.058542542,[0.02723241 0.01203498]
[0.09961065 0.04978024],[0.19041531 0.09155672],0.288801651,0.327377104,[0.14250372 0.05887216],[0.13192384 0.05569171],0.211710458,0.263961948,0.058693915,[0.02729374 0.01205901]
[0.17677848 0.03485223],[0.13327195 0.06215538],0.259738851,0.294267125,[0.15761146 0.03787595],[0.13192384 0.05569171],0.573506386,0.263961948,0.05848947,[0.02720837 0.01202296]
[0.14288344 0.06514725],[0.19564487 0.09072288],0.286073094,0.32440945,[0.34963289 0.09041229],[0.13192384 0.05569171],0.041247201,0.263961948,0.058632995,[0.02725895 0.01203498]
[0.12138919 0.05098496],[0.1688892  0.07662531],0.265182175,0.300751175,[0.24585542 0.0474582 ],[0.13192384 0.05569171],0.009032731,0.263961948,0.05848947,[0.02720837 0.01202296]
[0.10348367 0.04453663],[0.15700854 0.07783833],0.272855199,0.310144455,[0.36701962 0.10391422],[0.13192384 0.05569171],0.346455901,0.263961948,0.058640842,[0.02726971 0.012047  ]
