eo_est,eo_true,dp_est,dp_true,eo_est_fine,eo_true_fine,dp_est_fine,dp_true_fine,dp_base,eo_base
[0.61931875 0.22036899],[0.87760478 0.27795651],0.37679725768971706,0.5278577962511228,[0.46049309 0.12833894],[0.80522694 0.25407365],0.2918105776249879,0.48484582009742,0.2723725055432373,[0.4359845  0.11596554]
[0.63434936 0.20007111],[0.88871952 0.27547358],0.3838805504954688,0.5391567836050839,[0.4358626 0.0882341],[0.77891586 0.24253946],0.26686435244729356,0.4777577001755106,0.26907612712490764,[0.42370889 0.11197504]
[0.61801131 0.22077542],[0.87760478 0.27795651],0.37679725768971706,0.5278577962511228,[0.41000279 0.11518388],[0.80522694 0.25407365],0.2684068686909191,0.48484582009742,0.2723725055432373,[0.4359845  0.11596554]
[0.57664093 0.18218901],[0.82155281 0.26910187],0.3499802176046759,0.49590869334959564,[0.44917651 0.12545075],[0.85383043 0.25767448],0.2940146735613675,0.5068847498937754,0.25036215816703616,[0.39512275 0.1038392 ]
[0.52631641 0.19387413],[0.75000728 0.26723178],0.3319997346208077,0.4440256290923095,[0.45611225 0.16796947],[0.66982122 0.22781932],0.2571607853266129,0.3999061488824244,0.23377679231337764,[0.38006648 0.1119522 ]
[0.61743699 0.2024003 ],[0.87438956 0.26958874],0.37330606651670956,0.5246220631660032,[0.43425404 0.09447664],[0.76507455 0.23590202],0.3049967275057831,0.46363723144909935,0.2703473762010347,[0.43349938 0.10734485]
[0.78208826 0.24361432],[1.12519652 0.33962201],0.45657668212960134,0.6356309779817689,[0.7212787  0.19702696],[0.88667486 0.25856462],0.4389687222240566,0.5143925798992588,0.30206947524020694,[0.51044053 0.13243268]
